GSM,GSE,Cell Type,In Situ Site,Disease,PubMed ID,Release Date,FRiP,Number of Peaks,Motif Overlap Ratio
GSM1006891,GSE33213,GM10248,Peripheral blood,Cornelia de Lange syndrome,,10/25/11,0.122,41500,0.861
GSM1006893,GSE33213,Medullo,Brain,medulloblastoma,,10/25/11,0.196,53063,0.827
GSM1007997,GSE41050,WI-38,Fetal lung,,23064413,9/24/12,0.042,20637,0.918
GSM1007998,GSE41050,WI-38,Fetal lung,,23064413,9/24/12,0.04,14603,0.903
GSM1010734,GSE32465,MCF-7,Breast,Invasive breast carcinoma of no special type,24076218,9/29/11,0.155,65871,0.812
GSM1010774,GSE32465,ECC-1,Endometrium,Type I endometrial adenocarcinoma,24076218,9/29/11,0.039,25456,0.939
GSM1010820,GSE32465,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",24076218,9/29/11,0.192,58672,0.802
GSM1010903,GSE32465,HCT-116,Colon,Colon carcinoma,24076218,9/29/11,0.216,53517,0.802
GSM1022626,GSE30263,NHLF,Lung fibroblasts,,22955980;26502339,6/29/11,0.135,38679,0.851
GSM1022628,GSE30263,NHLF,Lung fibroblasts,,22955980;26502339,6/29/11,0.28,45900,0.838
GSM1022629,GSE30263,GM12873,Peripheral blood,,22955980;26502339,6/29/11,0.305,54023,0.8
GSM1022630,GSE30263,NHLF,Lung fibroblasts,,22955980;26502339,6/29/11,0.236,41894,0.862
GSM1022631,GSE30263,HMEC,Epithelial,,22955980;26502339,6/29/11,0.263,48810,0.836
GSM1022633,GSE30263,GM12872,Peripheral blood,,22955980;26502339,6/29/11,0.231,48708,0.815
GSM1022634,GSE30263,WI-38,Fetal lung,,22955980;26502339,6/29/11,0.083,24127,0.898
GSM1022635,GSE30263,AG04450,Fetal lung,,22955980;26502339,6/29/11,0.212,44045,0.828
GSM1022636,GSE30263,GM12865,Peripheral blood,,22955980;26502339,6/29/11,0.134,34537,0.898
GSM1022637,GSE30263,WI-38,Fetal lung,,22955980;26502339,6/29/11,0.111,30981,0.888
GSM1022639,GSE30263,A-549,Lung,Lung adenocarcinoma,22955980;26502339,6/29/11,0.295,58546,0.815
GSM1022640,GSE30263,A-549,Lung,Lung adenocarcinoma,22955980;26502339,6/29/11,0.277,33873,0.886
GSM1022643,GSE30263,NB4,Bone marrow,Acute promyelocytic leukemia,22955980;26502339,6/29/11,0.143,44315,0.865
GSM1022644,GSE30263,HFF,"Foreskin, skin",,22955980;26502339,6/29/11,0.258,47211,0.838
GSM1022650,GSE30263,BE2C,Brain,Neuroblastoma,22955980;26502339,6/29/11,0.197,49333,0.839
GSM1022651,GSE30263,HCT-116,Colon,Colon carcinoma,22955980;26502339,6/29/11,0.146,40896,0.863
GSM1022652,GSE30263,HCT-116,Colon,Colon carcinoma,22955980;26502339,6/29/11,0.209,50354,0.839
GSM1022653,GSE30263,BE2C,Brain,Neuroblastoma,22955980;26502339,6/29/11,0.238,54451,0.821
GSM1022657,GSE30263,myocyte,Myocyte,,22955980;26502339,6/29/11,0.201,38874,0.87
GSM1022658,GSE30263,MCF-7,Breast,Invasive breast carcinoma of no special type,22955980;26502339,6/29/11,0.215,63057,0.798
GSM1022661,GSE30263,astrocyte,Astrocyte,,22955980;26502339,6/29/11,0.123,32686,0.886
GSM1022662,GSE30263,astrocyte,Astrocyte,,22955980;26502339,6/29/11,0.215,52138,0.801
GSM1022663,GSE30263,MCF-7,Breast,Invasive breast carcinoma of no special type,22955980;26502339,6/29/11,0.145,52915,0.831
GSM1022664,GSE30263,GM12864,Peripheral blood,,22955980;26502339,6/29/11,0.215,42673,0.839
GSM1022665,GSE30263,retinal_pigment_epithelial,Retinal pigment epithelial,,22955980;26502339,6/29/11,0.212,46549,0.852
GSM1022666,GSE30263,RPTEC-TERT1,"Kidney, proximal tubule",,22955980;26502339,6/29/11,0.259,51786,0.842
GSM1022667,GSE30263,RPTEC-TERT1,"Kidney, proximal tubule",,22955980;26502339,6/29/11,0.311,59180,0.817
GSM1022668,GSE30263,astrocyte,Astrocyte,,22955980;26502339,6/29/11,0.155,39168,0.872
GSM1022669,GSE30263,HFF,"Foreskin, skin",,22955980;26502339,6/29/11,0.138,39023,0.891
GSM1022671,GSE30263,HFF,"Foreskin, skin",,22955980;26502339,6/29/11,0.183,40163,0.87
GSM1022675,GSE30263,NHDF-neo,"Dermal fibroblasts, neonatal",,22955980;26502339,6/29/11,0.238,47687,0.813
GSM1022676,GSE30263,NHDF-neo,"Dermal fibroblasts, neonatal",,22955980;26502339,6/29/11,0.16,39648,0.847
GSM1022677,GSE30263,myocyte,Myocyte,,22955980;26502339,6/29/11,0.305,52028,0.82
GSM1055825,GSE43070,IMR-90,Fetal lung,,24141950,10/20/13,0.568,41330,0.855
GSM1056577,GSE43098,macrophage,Macrophage,,23658224,5/15/13,0.036,10638,0.927
GSM1070125,GSE43743,MM1.S,Peripheral blood,"Multiple myeloma, Plasma cell myeloma",24336317,12/13/13,0.42,58799,0.759
GSM1122667,GSE46073,SUM159PT,Breast,Breast pleomorphic carcinoma,24937458,6/17/14,0.136,164887,0.379
GSM1208603,GSE49402,LoVo,Colon,Colon adenocarcinoma,23953112,8/15/13,0.195,32955,0.841
GSM1224649,GSE50610,HCT-116,Colon,Colon carcinoma,26257180,2/28/14,0.146,40904,0.863
GSM1224650,GSE50610,HCT-116,Colon,Colon carcinoma,26257180,2/28/14,0.209,50352,0.839
GSM1224651,GSE50610,HCT-116,Colon,Colon carcinoma,26257180,2/28/14,0.167,43932,0.875
GSM1224652,GSE50610,HCT-116,Colon,Colon carcinoma,26257180,2/28/14,0.119,36007,0.897
GSM1224653,GSE50610,HCT-116,Colon,Colon carcinoma,26257180,2/28/14,0.156,49980,0.855
GSM1224654,GSE50610,HCT-116,Colon,Colon carcinoma,26257180,2/28/14,0.154,47431,0.867
GSM1224655,GSE50610,HCT-116,Colon,Colon carcinoma,26257180,2/28/14,0.154,43669,0.877
GSM1224656,GSE50610,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",26257180,2/28/14,0.169,48972,0.811
GSM1224658,GSE50610,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",26257180,2/28/14,0.168,35427,0.887
GSM1224659,GSE50610,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",26257180,2/28/14,0.133,47043,0.857
GSM1224660,GSE50610,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",26257180,2/28/14,0.096,28881,0.909
GSM1224672,GSE50611,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",25580597,10/7/14,0.209,24237,0.905
GSM1224673,GSE50611,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",25580597,10/7/14,0.232,47377,0.843
GSM1224674,GSE50611,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",25580597,10/7/14,0.18,36180,0.87
GSM1224675,GSE50611,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",25580597,10/7/14,0.208,37818,0.853
GSM1233869,GSE50893,GM10847,Peripheral blood,,24136358,10/18/13,0.273,45497,0.848
GSM1233870,GSE50893,GM10847,Peripheral blood,,24136358,10/18/13,0.222,43235,0.867
GSM1233887,GSE50893,GM12878,Peripheral blood,,24136358,10/18/13,0.547,69891,0.774
GSM1233888,GSE50893,GM12878,Peripheral blood,,24136358,10/18/13,0.591,74622,0.748
GSM1233914,GSE50893,GM12890,Peripheral blood,,24136358,10/18/13,0.523,66886,0.792
GSM1233915,GSE50893,GM12890,Peripheral blood,,24136358,10/18/13,0.52,65731,0.798
GSM1233916,GSE50893,GM12890,Peripheral blood,,24136358,10/18/13,0.256,46794,0.835
GSM1233933,GSE50893,GM12891,Peripheral blood,,24136358,10/18/13,0.531,72213,0.771
GSM1233934,GSE50893,GM12891,Peripheral blood,,24136358,10/18/13,0.619,80966,0.748
GSM1233955,GSE50893,GM12892,Peripheral blood,,24136358,10/18/13,0.541,68480,0.784
GSM1233956,GSE50893,GM12892,Peripheral blood,,24136358,10/18/13,0.593,73587,0.778
GSM1233977,GSE50893,GM18486,Peripheral blood,,24136358,10/18/13,0.559,69769,0.772
GSM1233978,GSE50893,GM18486,Peripheral blood,,24136358,10/18/13,0.066,33492,0.834
GSM1233979,GSE50893,GM18486,Peripheral blood,,24136358,10/18/13,0.28,48025,0.838
GSM1233993,GSE50893,GM18505,Peripheral blood,,24136358,10/18/13,0.273,45964,0.855
GSM1233994,GSE50893,GM18505,Peripheral blood,,24136358,10/18/13,0.191,42518,0.866
GSM1234010,GSE50893,GM18526,Peripheral blood,,24136358,10/18/13,0.325,52073,0.829
GSM1234011,GSE50893,GM18526,Peripheral blood,,24136358,10/18/13,0.195,41186,0.871
GSM1234027,GSE50893,GM18951,Peripheral blood,,24136358,10/18/13,0.245,43069,0.867
GSM1234028,GSE50893,GM18951,Peripheral blood,,24136358,10/18/13,0.199,43902,0.863
GSM1234044,GSE50893,GM19099,Peripheral blood,,24136358,10/18/13,0.285,49417,0.84
GSM1234045,GSE50893,GM19099,Peripheral blood,,24136358,10/18/13,0.261,42156,0.871
GSM1234061,GSE50893,GM19193,Peripheral blood,,24136358,10/18/13,0.271,45920,0.851
GSM1234062,GSE50893,GM19193,Peripheral blood,,24136358,10/18/13,0.27,49030,0.844
GSM1234078,GSE50893,GM19238,Peripheral blood,,24136358,10/18/13,0.494,65603,0.795
GSM1234079,GSE50893,GM19238,Peripheral blood,,24136358,10/18/13,0.626,79419,0.751
GSM1234099,GSE50893,GM19239,Peripheral blood,,24136358,10/18/13,0.511,66400,0.786
GSM1234100,GSE50893,GM19239,Peripheral blood,,24136358,10/18/13,0.584,64184,0.785
GSM1234121,GSE50893,GM19240,Peripheral blood,,24136358,10/18/13,0.531,68635,0.78
GSM1234122,GSE50893,GM19240,Peripheral blood,,24136358,10/18/13,0.573,70541,0.781
GSM1234144,GSE50893,GM13395,Skin,"Homocystinuria due to methylene tetrahydrofolate reductase deficiency, 5' 10' methylenetetrahydrofolate reductase deficiency",24136358,10/18/13,0.496,65019,0.794
GSM1234145,GSE50893,GM13395,Skin,"Homocystinuria due to methylene tetrahydrofolate reductase deficiency, 5' 10' methylenetetrahydrofolate reductase deficiency",24136358,10/18/13,0.582,69526,0.785
GSM1234146,GSE50893,GM13395,Skin,"Homocystinuria due to methylene tetrahydrofolate reductase deficiency, 5' 10' methylenetetrahydrofolate reductase deficiency",24136358,10/18/13,0.275,49599,0.82
GSM1234162,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.512,70214,0.785
GSM1234163,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.561,71682,0.786
GSM1234164,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.261,50153,0.827
GSM1234180,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.488,68385,0.777
GSM1234181,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.556,73782,0.772
GSM1234182,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.27,53348,0.816
GSM1234198,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.51,71261,0.785
GSM1234199,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.537,71515,0.783
GSM1234200,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.304,54879,0.816
GSM1234216,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.568,68699,0.779
GSM1234217,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.576,73587,0.779
GSM1234218,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.588,81963,0.76
GSM1234219,GSE50893,lymphoblast,Lymphoblast,,24136358,10/18/13,0.3,53011,0.803
GSM1239390,GSE51142,LoVo,Colon,Colon adenocarcinoma,23953112,9/25/13,0.028,13005,0.897
GSM1239427,GSE51142,LoVo,Colon,Colon adenocarcinoma,23953112,9/25/13,0.067,23947,0.87
GSM1239588,GSE51142,LoVo,Colon,Colon adenocarcinoma,23953112,9/25/13,0.106,20411,0.875
GSM1240813,GSE51234,GP5d,Colon,Colon adenocarcinoma,23953112,9/28/13,0.238,45748,0.817
GSM1240827,GSE51234,GP5d,Colon,Colon adenocarcinoma,23953112,9/28/13,0.126,23122,0.862
GSM1267206,GSE52457,H1,Embryonic stem cell,,25693564,2/18/15,0.46,102946,0.743
GSM1267207,GSE52457,mesendoderm,Mesendoderm,,25693564,2/18/15,0.344,92956,0.745
GSM1267208,GSE52457,mesenchymal_stem,Mesenchymal stem,,25693564,2/18/15,0.162,44877,0.842
GSM1267209,GSE52457,neuronal_progenitor,Neuronal progenitor,,25693564,2/18/15,0.285,50554,0.809
GSM1267210,GSE52457,trophectoderm,Trophectoderm,,25693564,2/18/15,0.373,82285,0.761
GSM1273199,GSE52637,erythroid_progenitor,Erythroid progenitor,,24614105,7/24/14,0.275,89632,0.71
GSM1294054,GSE53463,T-47D,Metastatic; Pleural effusion,Invasive breast carcinoma of no special type,25274727,10/6/14,0.072,47443,0.856
GSM1294055,GSE53463,T-47D,Metastatic; Pleural effusion,Invasive breast carcinoma of no special type,25274727,10/6/14,0.09,49682,0.846
GSM1335528,GSE55408,THP-1,Peripheral blood,"Acute monoblastic/monocytic leukemia, Childhood acute monocytic leukemia",24995990,2/27/14,0.071,37234,0.865
GSM1354438,GSE56053,BEAS-2B,"Lung, bronchus, epithelium",,25246589,9/24/14,0.065,14755,0.938
GSM1354439,GSE56053,BEAS-2B,"Lung, bronchus, epithelium",,25246589,9/24/14,0.12,24077,0.915
GSM1383877,GSE57498,PC-3,Prostate,Homo sapiens PC-3 immortalized cell line,24916973,6/4/14,0.181,54387,0.837
GSM1463918,GSE60024,retinal_pigment,Retinal pigment,,,8/3/14,0.075,41681,0.875
GSM1505620,GSE61475,HUES-64,Blastocyst,,25693565,2/19/15,0.25,71171,0.783
GSM1505622,GSE61475,HUES-64,Blastocyst,,25693565,2/19/15,0.183,47836,0.84
GSM1505623,GSE61475,HUES-64,Blastocyst,,25693565,2/19/15,0.092,30218,0.905
GSM1505624,GSE61475,HUES-64,Blastocyst,,25693565,2/19/15,0.109,37178,0.89
GSM1505625,GSE61475,HUES-64,Blastocyst,,25693565,2/19/15,0.1,39377,0.876
GSM1505626,GSE61475,HUES-64,Blastocyst,,25693565,2/19/15,0.158,40306,0.847
GSM1647363,GSE67454,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",26079792,6/12/15,0.099,42328,0.575
GSM1655735,GSE67893,HSPC,Stem and progenitor,Human Stem and Progenitor Cell,27219007,6/27/16,0.104,36053,0.601
GSM1655739,GSE67893,erythroid,Erythroid,,27219007,6/27/16,0.072,51688,0.462
GSM1684571,GSE68858,PANC-1,Pancreas,Pancreatic ductal adenocarcinoma,30548288,2/10/18,0.159,40992,0.885
GSM1684572,GSE68858,PANC-1,Pancreas,Pancreatic ductal adenocarcinoma,30548288,2/10/18,0.263,52821,0.847
GSM1684573,GSE68858,PANC-1,Pancreas,Pancreatic ductal adenocarcinoma,30548288,2/10/18,0.302,47398,0.844
GSM1684574,GSE68858,PANC-1,Pancreas,Pancreatic ductal adenocarcinoma,30548288,2/10/18,0.166,42092,0.883
GSM1689152,GSE68978,Jurkat,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",26940867,5/28/15,0.203,64998,0.77
GSM1705253,GSE69647,hESC,Embryonic stem cell,,26686465,11/21/15,0.077,43355,0.851
GSM1705254,GSE69647,hESC,Embryonic stem cell,,26686465,11/21/15,0.081,45684,0.845
GSM1705262,GSE69647,hESC,Embryonic stem cell,,26686465,11/21/15,0.034,26492,0.917
GSM1705263,GSE69647,hESC,Embryonic stem cell,,26686465,11/21/15,0.038,28584,0.916
GSM1714039,GSE69303,THP-1,Peripheral blood,"Acute monoblastic/monocytic leukemia, Childhood acute monocytic leukemia",26715761;33753848,1/1/16,0.014,11793,0.937
GSM1714040,GSE69303,THP-1,Peripheral blood,"Acute monoblastic/monocytic leukemia, Childhood acute monocytic leukemia",26715761;33753848,1/1/16,0.02,15713,0.935
GSM1782700,GSE70482,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",26280331,8/17/15,0.17,42217,0.858
GSM1782701,GSE70482,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",26280331,8/17/15,0.196,38756,0.865
GSM1817654,GSE70764,K-562,Pleural effusion,"Chronic myeloid leukemia, Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",26268681,7/23/15,0.368,72524,0.779
GSM1817658,GSE70764,Delta-47,Ascites,"Multiple myeloma, Plasma cell myeloma",26268681,7/23/15,0.277,42653,0.84
GSM1817662,GSE70764,OVCAR-8,Ovary,High grade ovarian serous adenocarcinoma,26268681,7/23/15,0.329,34264,0.896
GSM1817665,GSE70764,MCF-7,Breast,Invasive breast carcinoma of no special type,26268681,7/23/15,0.204,61573,0.828
GSM1817666,GSE70764,MCF-7,Breast,Invasive breast carcinoma of no special type,26268681,7/23/15,0.218,72140,0.804
GSM1817667,GSE70764,MCF-7,Breast,Invasive breast carcinoma of no special type,26268681,7/23/15,0.285,75625,0.793
GSM1910997,GSE68978,HEK-293T,Fetal kidney,,26940867,5/28/15,0.072,33293,0.899
GSM1910998,GSE68978,HEK-293T,Fetal kidney,,26940867,5/28/15,0.085,30075,0.917
GSM1936635,GSE74850,T-lymphocyte,T-lymphocyte,,26711177,1/4/16,0.017,12721,0.943
GSM1936636,GSE74850,T-lymphocyte,T-lymphocyte,,26711177,1/4/16,0.055,26004,0.919
GSM1939276,GSE74967,KhES-1,Blastocyst,,27476965,7/27/16,0.063,25448,0.919
GSM2026781,GSE76496,HEK-293,Fetal kidney,,27852650,10/25/16,0.194,75897,0.704
GSM2026782,GSE76496,HEK-293,Fetal kidney,,27852650,10/25/16,0.079,34506,0.791
GSM2026785,GSE76496,HEK-293,Fetal kidney,,27852650,10/25/16,0.036,43377,0.718
GSM2026786,GSE76496,HEK-293,Fetal kidney,,27852650,10/25/16,0.038,43721,0.738
GSM2038347,GSE76815,SK-N-SH,Metastatic; Bone marrow,Neuroblastoma,,1/13/16,0.104,36049,0.89
GSM2040764,GSE76922,GM12878,Peripheral blood,,30559385,9/5/17,0.163,39094,0.858
GSM2040765,GSE76922,GM12878,Peripheral blood,,30559385,9/5/17,0.159,40898,0.848
GSM2040766,GSE76922,GM17942,Peripheral blood,22q11.2 deletion syndrome,30559385,9/5/17,0.203,54361,0.726
GSM2040767,GSE76922,GM17942,Peripheral blood,22q11.2 deletion syndrome,30559385,9/5/17,0.43,45280,0.773
GSM2040768,GSE76922,ID00014,Peripheral blood,lymphoblastoid cell,30559385,9/5/17,0.34,51131,0.805
GSM2040769,GSE76922,ID00015,Peripheral blood,lymphoblastoid cell,30559385,9/5/17,0.14,29458,0.892
GSM2040770,GSE76922,ID00016,Peripheral blood,lymphoblastoid cell,30559385,9/5/17,0.317,50803,0.814
GSM2067524,GSE78114,MCF-7,Breast,Invasive breast carcinoma of no special type,27506891;31690629,9/14/16,0.25,62696,0.804
GSM2067525,GSE78114,MCF-7,Breast,Invasive breast carcinoma of no special type,27506891;31690629,9/14/16,0.241,50496,0.842
GSM2067526,GSE78114,MCF-7,Breast,Invasive breast carcinoma of no special type,27506891;31690629,9/14/16,0.206,53942,0.837
GSM2067527,GSE78114,MCF-7,Breast,Invasive breast carcinoma of no special type,27506891;31690629,9/14/16,0.233,58273,0.827
GSM2067536,GSE78114,786-O,Kidney,Renal cell carcinoma,27506891;31690629,9/14/16,0.235,85632,0.609
GSM2067537,GSE78114,786-O,Kidney,Renal cell carcinoma,27506891;31690629,9/14/16,0.192,66370,0.789
GSM2140683,GSE67893,HSPC,Stem and progenitor,Human Stem and Progenitor Cell,27219007,6/27/16,0.138,79186,0.356
GSM2140685,GSE67893,erythroid,Erythroid,,27219007,6/27/16,0.206,41570,0.83
GSM2144250,GSE69962,THP-1,Peripheral blood,"Acute monoblastic/monocytic leukemia, Childhood acute monocytic leukemia",26715761;27569350;33753848;35325193,1/2/16,0.077,36870,0.882
GSM2144251,GSE69962,THP-1,Peripheral blood,"Acute monoblastic/monocytic leukemia, Childhood acute monocytic leukemia",26715761;27569350;33753848;35325193,1/2/16,0.072,36419,0.885
GSM2144252,GSE69962,THP-1,Peripheral blood,"Acute monoblastic/monocytic leukemia, Childhood acute monocytic leukemia",26715761;27569350;33753848;35325193,1/2/16,0.058,32376,0.902
GSM2144253,GSE69962,THP-1,Peripheral blood,"Acute monoblastic/monocytic leukemia, Childhood acute monocytic leukemia",26715761;27569350;33753848;35325193,1/2/16,0.079,38226,0.883
GSM2144254,GSE69962,THP-1,Peripheral blood,"Acute monoblastic/monocytic leukemia, Childhood acute monocytic leukemia",26715761;27569350;33753848;35325193,1/2/16,0.058,31406,0.901
GSM2144255,GSE69962,THP-1,Peripheral blood,"Acute monoblastic/monocytic leukemia, Childhood acute monocytic leukemia",26715761;27569350;33753848;35325193,1/2/16,0.087,40885,0.873
GSM2178295,GSE81945,COLO-829,Skin,Cutaneous melanoma,27974201,12/13/16,0.166,50591,0.846
GSM2178296,GSE81945,COLO-829,Skin,Cutaneous melanoma,27974201,12/13/16,0.191,55635,0.828
GSM2214099,GSE83728,Rh4,Sarcoma,Alveolar rhabdomyosarcoma,28446439;32744500;34836971,4/27/17,0.333,67729,0.719
GSM2214100,GSE83728,Rh4,Sarcoma,Alveolar rhabdomyosarcoma,28446439;32744500;34836971,4/27/17,0.306,66099,0.683
GSM2235690,GSE84432,VCaP,"Metastatic; Bone, vertebra",Prostate carcinoma,27641228,10/6/16,0.05,33412,0.906
GSM2235691,GSE84432,VCaP,"Metastatic; Bone, vertebra",Prostate carcinoma,27641228,10/6/16,0.043,31147,0.913
GSM2235692,GSE84432,VCaP,"Metastatic; Bone, vertebra",Prostate carcinoma,27641228,10/6/16,0.061,35718,0.894
GSM2235693,GSE84432,VCaP,"Metastatic; Bone, vertebra",Prostate carcinoma,27641228,10/6/16,0.048,32863,0.906
GSM2247247,GSE84662,keratinocytes,"Foreskin, keratinocytes",,28805829,6/25/17,0.309,61302,0.782
GSM2247248,GSE84662,keratinocytes,"Foreskin, keratinocytes",,28805829,6/25/17,0.149,39257,0.85
GSM2247249,GSE84662,keratinocytes,"Foreskin, keratinocytes",,28805829,6/25/17,0.147,44710,0.843
GSM2316303,GSE87064,retina,Retina,,28472656;29514090;31493975,5/3/17,0.105,30444,0.876
GSM2316304,GSE87064,retina,Retina,,28472656;29514090;31493975,5/3/17,0.17,34307,0.869
GSM2316305,GSE87064,retina,Retina,,28472656;29514090;31493975,5/3/17,0.068,20886,0.921
GSM2316306,GSE87064,retina,Retina,,28472656;29514090;31493975,5/3/17,0.101,29779,0.882
GSM2316307,GSE87064,retina,Retina,,28472656;29514090;31493975,5/3/17,0.053,24214,0.89
GSM2316308,GSE87064,retina,Retina,,28472656;29514090;31493975,5/3/17,0.039,18918,0.925
GSM2341639,GSE87831,U2OS,"Bone, tibia",Osteosarcoma,27807035,11/15/16,0.041,24608,0.935
GSM2423744,GSE91917,HEK-293,Fetal kidney,,22955616,1/4/17,0.032,25008,0.755
GSM2423745,GSE91917,HEK-293,Fetal kidney,,22955616,1/4/17,0.056,36942,0.746
GSM2437717,GSE92782,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.128,35149,0.903
GSM2437718,GSE92782,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.118,34768,0.901
GSM2437719,GSE92782,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.129,35911,0.897
GSM2437728,GSE92786,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.131,35909,0.897
GSM2437729,GSE92786,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.046,23191,0.938
GSM2437730,GSE92786,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.125,37028,0.893
GSM2437737,GSE92789,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.178,41566,0.856
GSM2437738,GSE92789,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.087,31752,0.912
GSM2437739,GSE92789,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.114,35403,0.899
GSM2437756,GSE92794,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.112,33524,0.91
GSM2437757,GSE92794,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.176,43566,0.871
GSM2437758,GSE92794,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.208,43106,0.871
GSM2437764,GSE92797,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.13,35977,0.899
GSM2437765,GSE92797,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.185,42505,0.816
GSM2437771,GSE92800,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.149,40895,0.88
GSM2437772,GSE92800,A-549,Lung,Lung adenocarcinoma,22955616,1/10/17,0.096,32199,0.914
